Country,Health Care,Income,Inflation,Life Expectancy
Afghanistan,7.58,1610.0,9.44,56.2
Benin,4.1,1820.0,0.885,61.8
Burkina Faso,6.74,1430.0,6.81,57.9
Burundi,11.6,764.0,12.3,57.7
Central African Republic,3.98,888.0,2.01,47.5
Comoros,4.51,1410.0,3.87,65.9
"Congo, Dem. Rep.",7.91,609.0,20.8,57.5
Eritrea,2.66,1420.0,11.6,61.7
Gambia,5.69,1660.0,4.3,65.5
Guinea,4.93,1190.0,16.1,58.0
Guinea-Bissau,8.5,1390.0,2.97,55.6
Haiti,6.91,1500.0,5.45,32.1
Kiribati,11.3,1730.0,1.52,60.7
Liberia,11.8,700.0,5.47,60.8
Madagascar,3.77,1390.0,8.79,60.8
Malawi,6.59,1030.0,12.1,53.1
Mali,4.98,1870.0,4.37,59.5
Mozambique,5.21,918.0,7.64,54.5
Niger,5.16,814.0,2.55,58.8
Rwanda,10.5,1350.0,2.61,64.6
Sierra Leone,13.1,1220.0,17.2,55.0
Solomon Islands,8.55,1780.0,6.81,61.7
Timor-Leste,9.12,1850.0,26.5,71.1
Togo,7.65,1210.0,1.18,58.7
Uganda,9.01,1540.0,10.6,56.8
